urlImagem,imageAntes,imageDepois,urlTema
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s73a.jpg,73066,53184,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s73b.jpg,35909,43434,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s73c.jpg,68441,54780,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s73d.jpg,62853,47148,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s79.png,33506,35492,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s84.jpg,230391,192936,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s88.jpg,122636,98668,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s89.jpg,360932,308950,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s90.jpg,252487,253884,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s95.jpg,119135,93393,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/img/s96.png,26877,12872,https://stecine.azureedge.net/repositorio/linguagem_funcoes_executivas_e_emocao/index.html
